;;;;COPA DO MUNDO - RÚSSIA 2018;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;PRIMEIRA FASE;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;GRUPO A;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRUPO A;PLAC;PT;GC;GRUPO A;;;;;;;CLASSIFICAÇÃO;PT;JG;V;E;D;GP;GC;SG;;CLASSIFICAÇÃO;PT;JG;V;E;D;GP;GC;SG
RÚSSIA;5 ;3 ;0 ;RÚSSIA;5 ;X;0 ;ARÁBIA SAUDITA;;;URUGUAI;9 ;3 ;3 ;0 ;0 ;5 ;0 ;5 ;;RÚSSIA;6 ;3 ;2 ;0 ;1 ;8 ;4 ;4 
ARÁBIA SAUDITA;0 ;0 ;5 ;EGITO;0 ;X;1 ;URUGUAI;;;RÚSSIA;6 ;3 ;2 ;0 ;1 ;8 ;4 ;4 ;;ARÁBIA SAUDITA;3 ;3 ;1 ;0 ;2 ;2 ;7 ;-5 
EGITO;0 ;0 ;1 ;RÚSSIA;3 ;X;1 ;EGITO;;;ARÁBIA SAUDITA;3 ;3 ;1 ;0 ;2 ;2 ;7 ;-5 ;;EGITO;0 ;3 ;0 ;0 ;3 ;2 ;6 ;-4 
URUGUAI;1 ;3 ;0 ;URUGUAI;1 ;X;0 ;ARÁBIA SAUDITA;;;EGITO;0 ;3 ;0 ;0 ;3 ;2 ;6 ;-4 ;;URUGUAI;9 ;3 ;3 ;0 ;0 ;5 ;0 ;5 
RÚSSIA;3 ;3 ;1 ;URUGUAI;3 ;X;0 ;RÚSSIA;;;;;;;;;;;;;;;;;;;;;
EGITO;1 ;0 ;3 ;ARÁBIA SAUDITA;2 ;X;1 ;EGITO;;;;;;;;;;;;;;;;;;;;;
URUGUAI;1 ;3 ;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;
ARÁBIA SAUDITA;0 ;0 ;1 ;;;;;;;;CLASSIFICAÇÃO;;;;;;;;;;;;;;;;;;
URUGUAI;3 ;3 ;0 ;;;;;;;1º;URUGUAI;;;;;;;;;;;;;;;;;;
RÚSSIA;0 ;0 ;3 ;;;;;;;2º;RÚSSIA;;;;;;;;;;;;;;;;;;
ARÁBIA SAUDITA;2 ;3 ;1 ;;;;;;;;ARÁBIA SAUDITA;;;;;;;;;;;;;;;;;;
EGITO;1 ;0 ;2 ;;;;;;;;EGITO;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
